county,confirmed_cases,confirmed_deaths,state,length_of_lockdown,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
Dale,53,0,Alabama,26,1.082604788,0,48956,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497569,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.122559033,0.005007906,28,21,42,12,24,14,20,37,15,89.6,40.4,0.077853,27.8
Dallas,129,3,Alabama,26,3.367267032,0.078308536,38310,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.469851214,0.003918884,65,65,65,24,63,54,24,43,11,44.8,20.6,0.077853,27.8
DeKalb,179,2,Alabama,26,2.507529593,0.02801709,71385,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.168102543,0.007302259,31,37,23,65,31,17,21,29,12,91.5,40,0.077853,27.8
Elmore,157,5,Alabama,26,1.917276247,0.061059753,81887,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.061059753,0.008376551,8,4,12,15,12,52,17,34,16,128.2,52.8,0.077853,27.8
Escambia,38,3,Alabama,26,1.034069881,0.081637096,36748,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.380973114,0.003759101,54,44,55,62,53,21,22,39,13,40.5,17.4,0.077853,27.8
Etowah,197,10,Alabama,26,1.921932469,0.097560024,102501,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.546336133,0.01048524,47,20,34,46,27,18,20,36,14,195.2,88.7,0.077853,27.8
Fayette,9,0,Alabama,26,0.547678452,0,16433,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.730237936,0.001680998,14,35,29,11,46,59,18,41,14,27.5,13.4,0.077853,27.8
Franklin,270,3,Alabama,26,8.608870325,0.095654115,31363,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.223192934,0.003208248,21,46,20,66,32,4,19,34,13,50,22.1,0.077853,27.8
Geneva,17,0,Alabama,26,0.646043931,0,26314,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039884,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.228015505,0.002691765,40,27,49,54,42,3,20,39,14,46.6,22.1,0.077853,27.8
Greene,74,4,Alabama,26,8.988218146,0.48584963,8233,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497571,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.000842187,44,66,59,55,64,20,25,36,10,14,7.7,0.077853,27.8
Hale,74,2,Alabama,26,5.025125628,0.135814206,14726,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0,0.001506382,55,57,51,53,54,56,22,40,11,24.5,11.9,0.077853,27.8
Henry,33,1,Alabama,26,1.917601255,0.058109129,17209,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.001760378,11,19,18,22,14,16,18,36,14,30.8,15.8,0.077853,27.8
Houston,115,4,Alabama,26,1.098145566,0.038196368,104722,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.630240064,0.010712435,13,26,27,5,19,24,19,38,14,175.1,78.2,0.077853,27.8
Jackson,60,2,Alabama,26,1.159734034,0.038657801,51736,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.193289006,0.005292284,36,33,28,30,38,15,20,39,13,49.4,23,0.077853,27.8
Jefferson,1199,64,Alabama,26,1.81859548,0.097072653,659300,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.714394054,0.067442451,34,23,11,1,23,65,18,35,15,592.5,270.5,0.077853,27.8
Lamar,14,0,Alabama,26,1.01126842,0,13844,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0,0.001416158,48,38,30,31,15,9,20,36,13,24.1,12.2,0.077853,27.8
Lauderdale,102,2,Alabama,26,1.104051436,0.021648067,92387,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.519553617,0.009450638,10,18,2,8,6,30,17,33,14,138.8,65.6,0.077853,27.8
Lawrence,26,0,Alabama,26,0.788906757,0,32957,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497418,0.182055406,0.003371304,46,25,26,60,39,36,20,33,14,49.7,22,0.077853,27.8
Lee,436,30,Alabama,26,2.659493354,0.182992662,163941,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.170793151,0.016770185,2,6,3,10,8,67,18,30,16,230.8,102.7,0.077853,27.8
Limestone,60,0,Alabama,26,0.623869237,0,96174,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.17149757,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0.103978206,0.009838026,4,12,6,16,4,50,18,34,15,147.8,62.5,0.077853,27.8
Lowndes,111,8,Alabama,26,11.12893523,0.802085422,9974,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497571,1.4,0.8,0.9,3.1,0.519039885,0.109454607,0.020663393,1.199499741,0.15425939,0.095133444,1.297497417,0,0.001020281,67,61,64,37,65,60,23,47,10,15.8,7.2,0.077853,27.8
